name,address,lat,lon,note,google_maps_url,feature_id,kg_id,added_by,list_title,list_id,emoji,category,status,source_lists,source_list_ids,tourism_tier,drop_reason
Surf Santa Barbara,"801 Shoreline Dr, Santa Barbara, CA 93109, United States",34.4026017,-119.697943,,https://www.google.com/maps?ftid=0x80e915234115d23f:0x8be05d42aed753f3,0x80e915234115d23f:0x8be05d42aed753f3,/g/11lfqndtf8,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
Tachikawa-Minami Station,"3-chōme-6 Shibasakichō, Tachikawa, Tokyo 190-0023, Japan",35.6961418,139.4126105,,https://www.google.com/maps?ftid=0x6018e17bbbd4dcd9:0x5792c7a33b5001bb,0x6018e17bbbd4dcd9:0x5792c7a33b5001bb,/m/080pn_k,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
Tai Nan St,Tai Nan St,22.327372399999998,114.1630476,,https://www.google.com/maps?ftid=0x340400b42171a61b:0x213e48b09bdb6a00,0x340400b42171a61b:0x213e48b09bdb6a00,/g/155ptg7g,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
Taichung City,"Taichung City, Taiwan",24.1477358,120.67364819999999,,https://www.google.com/maps?ftid=0x346917dff97922ef:0x87523ee47ea6447f,0x346917dff97922ef:0x87523ee47ea6447f,/m/01r8pt,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
Tamarindo,"Guanacaste Province, Tamarindo, Costa Rica",10.2975721,-85.84115249999999,,https://www.google.com/maps?ftid=0x8f9e39409203c30f:0xbb189f5e2cc1f893,0x8f9e39409203c30f:0xbb189f5e2cc1f893,/m/0dp1nt,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
TASUICHI,"33-14 Udagawacho, Shibuya City, Tokyo 150-0042, Japan",35.6610051,139.6970442,,https://www.google.com/maps?ftid=0x60188ca970e68463:0xab135d50f5dfe39,0x60188ca970e68463:0xab135d50f5dfe39,/g/11bwyxf913,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
Taverne Cobra,"6584 St Laurent Blvd, Montreal, Quebec H2S 3C6",45.5311813,-73.61083099999999,,https://www.google.com/maps?ftid=0x4cc91972735ff3cb:0xa117549a97ee411a,0x4cc91972735ff3cb:0xa117549a97ee411a,/g/11bwp1zk50,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
Temma-ya Curry Shimokitazawa,"Japan, 〒155-0031 Tokyo, Setagaya City, Kitazawa, 2 Chome−12−12 桑田ビル",35.6610049,139.6682162,,https://www.google.com/maps?ftid=0x6018f36a2d4f0001:0xde0c0dc61e656df0,0x6018f36a2d4f0001:0xde0c0dc61e656df0,/g/11b6zqx9yv,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
Tequila,"Tequila, Jalisco, Mexico",20.8819452,-103.83250009999999,,https://www.google.com/maps?ftid=0x842614da2b81b26f:0x38c2cd8e73684f12,0x842614da2b81b26f:0x38c2cd8e73684f12,/m/04qhcp,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
The 'Hills Have Eyes' Gas Station,,30.922714,-7.2329928,,https://www.google.com/maps?ftid=0xdbae5f018925993:0xc15d5c4b475af156,0xdbae5f018925993:0xc15d5c4b475af156,,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
The 606,,41.913922799999995,-87.7202507,,https://www.google.com/maps?ftid=0x880fcd3ee453de43:0xcb76e9a45d827975,0x880fcd3ee453de43:0xcb76e9a45d827975,,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
The Beirut,"4082 Monroe St, Toledo, OH 43606, United States",41.679715699999996,-83.60134819999999,,https://www.google.com/maps?ftid=0x883c7becb5c99ffd:0x1db2572db3da23a1,0x883c7becb5c99ffd:0x1db2572db3da23a1,/g/11b6zxrfl4,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
The Black Mailbox,"51 Rd, Alamo, NV 89001, United States",37.4570745,-115.48260739999999,,https://www.google.com/maps?ftid=0x80b78d5afc30089b:0xb4886bfe6895b491,0x80b78d5afc30089b:0xb4886bfe6895b491,/g/1hc1kccwj,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
The Boston Stone,"Marshall St, Boston, MA 02108, United States",42.3617145,-71.0568536,,https://www.google.com/maps?ftid=0x89e3708f5f60fced:0x4da1c4fff739c53d,0x89e3708f5f60fced:0x4da1c4fff739c53d,/m/0_1j14l,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
The Franklin Room,,41.8944251,-87.6354612,,https://www.google.com/maps?ftid=0x880e2cb4dc105c63:0x28d41b66346f49f6,0x880e2cb4dc105c63:0x28d41b66346f49f6,,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
The Geographic Center of the United States,"Lebanon, KS 66952, United States",39.828345899999995,-98.5794797,Center of the US.,https://www.google.com/maps?ftid=0x87988f5625fc1527:0xde5763fad96b22b3,0x87988f5625fc1527:0xde5763fad96b22b3,/m/0djgsd,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
The Giant Forest,"Generals Hwy, Three Rivers, CA 93271, United States",36.5642053,-118.7728896,,https://www.google.com/maps?ftid=0x80955d83dadf1fd1:0x49ca5bb0d40fb711,0x80955d83dadf1fd1:0x49ca5bb0d40fb711,/g/11b_3ghbtn,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
The Glebe,"The Glebe, Ottawa, ON",45.404401,-75.6891414,,https://www.google.com/maps?ftid=0x4cce05c812504f01:0x24cf4b374d75b3e8,0x4cce05c812504f01:0x24cf4b374d75b3e8,/m/01_fx_,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
The Legendary Silver Dollar Saloon,"315 Harrison Ave, Leadville, CO 80461, United States",39.2467044,-106.2913851,,https://www.google.com/maps?ftid=0x876a91259a77eb93:0xec2519a8de336d9d,0x876a91259a77eb93:0xec2519a8de336d9d,/g/1v_s6cc9,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
The Lost Coast,,40.285595099999995,-124.3594468,,https://www.google.com/maps?ftid=0x54d438c0bee3fb81:0x56b0a22e17878e3b,0x54d438c0bee3fb81:0x56b0a22e17878e3b,,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
The Lunch Lady,"1046 Commercial Dr, Vancouver, BC V5L 3W9",49.2749731,-123.0693852,,https://www.google.com/maps?ftid=0x548671a010fed02f:0x457d97169897b9b2,0x548671a010fed02f:0x457d97169897b9b2,/g/11j76w63v8,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
The Model Railway Club,"Keen House, 4 Calshot St, London N1 9DA, United Kingdom",51.5315527,-0.11689229999999999,,https://www.google.com/maps?ftid=0x48761b40a4df0bdd:0xad1072e6829dec9b,0x48761b40a4df0bdd:0xad1072e6829dec9b,/g/1tfk3xyk,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
The Rookery Building,"209 S LaSalle St, Chicago, IL 60604, United States",41.8792243,-87.63178719999999,,https://www.google.com/maps?ftid=0x880e2cbc40368d73:0x5e38048e5004f656,0x880e2cbc40368d73:0x5e38048e5004f656,/m/0b2x5s,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
The Templeton,"1087 Granville St, Vancouver, BC V6Z 1L4",49.2784391,-123.1245158,,https://www.google.com/maps?ftid=0x548673d5b3260df3:0x2be221618c353bb2,0x548673d5b3260df3:0x2be221618c353bb2,/g/1tfkqg16,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
The Three Country Point NL / BE / DE,"Rte des Trois Bornes, 4851 Vaals, Belgium",50.754394,6.020993,,https://www.google.com/maps?ftid=0x47c09a0b6cc83bef:0xca601f8cd66c6826,0x47c09a0b6cc83bef:0xca601f8cd66c6826,/g/1q5bt3dty,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
The Vancouver Tool Library,"3448 Commercial St, Vancouver, BC V5N 4E9",49.25385,-123.06781079999999,,https://www.google.com/maps?ftid=0x548676ad5da6d1c9:0x480617c550bd6cf0,0x548676ad5da6d1c9:0x480617c550bd6cf0,/g/1tdcg1hz,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
Thingstätte Heidelberg,"Thingstätte Heidelberg, 69121 Heidelberg, Germany",49.423845299999996,8.706536999999999,,https://www.google.com/maps?ftid=0x4797c10d24c50097:0x866fe90ac9cc4153,0x4797c10d24c50097:0x866fe90ac9cc4153,/g/1227jrmd,Zach J.,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,📍,place,want_to_go,Want to go,1mSquE0pnDeBv3otPCuMkxC6wzss,vibe,
